Text,User
:red_circle: appel solennel conjoint avec au rassemblement pour mener campagne législatives ensemble ! constituons un bloc souverainiste dissolution blocsouvaireniste,Jean-Frédéric Poisson
rdv midi midinews - g. attal/ m. lepen: l’impossible débat? - missakmanouchian j.bardella dénonce une instrumentalisation d’e. macron sur la présence rn - agriculteurs un salon de l’agriculture chahuté? - voitures un luxe pour beaucoup de français,Mabrouk Sonia
"je serais son conseil en communication, je lui recommanderais d’abandonner ce ton pédagogique teinté d’agacement de prof principal, comme si les journalistes (et les français) étaient des lycéens bouchés macron20h",Gabrielle Cluzel
"« la transphobie c’est dégueulasse ». devant l’université d’assas, quelques étudiants manifestent contre la conférence de marguerite stern et dora moutot, auteures de transmania. les crs ont été déployés pour assurer la sécurité de l’événement.",Boulevard Voltaire
"à l’occasion du carême, la couronne d’épines est vénérée chaque vendredi en l’église saint-germain-l’auxerrois. le représentant de la lieutenance des chevaliers du saint-sépulcre explique l’importance spirituelle de cette vénération.",Famille Chrétienne
"[edito] on l’aurait parié : pas de cordon sanitaire pour lfi, l’union de la gauche revient ! :down_arrow:",Gabrielle Cluzel
"à l’insu de son plein gré aussi pourquoi pas ? ils nous prennent vraiment pour des imbéciles, et sans sourciller.",Cercle Aristote
y. braun pivet réélue pdte de l’an : une bonne gifle à tous les électeurs qui ont rejeté massivement le bilan catastrophique de macron. déni. mépris. insupportable.,Jean-Frédéric Poisson
":red_circle: elisabeth borne vient de déclencher son treizième 49.3 de la législature sur le plf2024. aucun débat, aucun amendement débattu, nous franchissons un échelon dans l’absence de démocratie. le déposera une motiondecensure. directan",Hélène Laporte
elections législatives 2024 : pourquoi les syndicats de police ne feront pas barrage au rn ?,Louis Aliot
comment l’etat d’israël ne se rend-il pas compte qu’il est en train de tout perdre ?,Paul-Marie Coûteaux
"voilà ce qu’est le front « populaire ». voilà le danger qui guette notre pays. face à eux, il n’y a plus que jordan bardella. votez et faites voter, partout, pour le rn ! bardellapremierministre",Laure Lavalette
a midi midinews - emile le procureur parle à 18h - emile le point sur la situation recherches hautvernet - insecurite les français dénoncent un ensauvagement sondage - autorite les français pour + d’autorité - qui veut la peau de l’enseignement privé? rapport,Mabrouk Sonia
"pour toucher le double et toujours sans aucune expérience, on peut aussi faire premier ministre",MARSAULT
"si je comprends bien, lfi veut former un frontpopulaire contre l'extrême droite avec fabien roussel après l'avoir comparé à jacques doriot ? si quelqu'un comprend quelque chose à ces gens, qu'il m'appelle ! vraiment, ça m'intéresse ! merci ! legislativesanticipées",Kevin Bossuet
la police allemande contre son propre peuple pendant qu'un islamiste attaque au couteau.,Breizh-Info
"françois : ""j'ai toujours cru à un gouvernement d'union nationale, républicaine""",Sud Radio
"c'est l'histoire d'un mec qui ne fait pas de bonnes blagues en 2023, pas plus qu'en 2022. et qui est un salarié protégé de france inter payé par nos impôts. c'est l'histoire d'un mec interpellé par la police de la pensée qu'il a appelé de tous ses voeux. l'arroseur arrosé.",Martial Bild
"hamas bfmtv ledébat bfmtv gaza manon aubry refuse catégoriquement de croire les chiffres du ministère français de l’intérieur qui montrent très clairement le lien entre certaines immigrations et l’explosion de la délinquance et de la criminalité. par contre, la même manon…",Jean MESSIHA
"la guerre, c'est du sérieux madame hayer. la guerre ne doit pas être le prétexte à aller se faire prendre en photo sur une zone de guerre, pour poster les photos sur twitter, en pleine campagne européenne. débatbfmtv",Jordan Bardella
"[satire a vue] le maire de marseille, benoît payan, comme chez lui à alger ! - par benoîtpayan alger il faut à tout prix renforcer les liaisons maritimes entre marseille et son clone, alger.",Boulevard Voltaire
:ballot_box_with_ballot:a voté !,Edwige Diaz Ⓜ️
"après avoir qualifié le drapeau français de drapeau satanique, l'imam mahjoub mahjoubi évoque un ""lapsus"" et ""une maladresse de langage"". vu l'enthousiasme de son propos, on peine à penser qu'il envisageait plutôt de chanter la marseillaise mais que - oups - sa langue a fourché.",Maud Koffler
merci à nos amis espagnols pour cet accueil si chaleureux aujourd’hui à madrid ! viva24 :france::spain:,Marine Le Pen
bon les amis plus d electricite depuis hier. l électricien arrive dans 1h. prochains épisodes écrits. ca me gave tellement d avoir pas pu sortir ma reaction hier grrrr. on croise les doigts qu il répare ca dans la journée !,J'SUIS PAS CONTENT TV (compte promotionnel)
"quand tu n’es pas élu au scrutin universel direct, et que ta place n’est pas menacée.",Cercle Aristote
":movie_camera: « de toute éternité, le fait de ne pas travailler était un privilège [...] aujourd'hui, on fait vraiment du travail le seul mode d'accomplissement d'une femme » - ève vaguerlant zoom à retrouver sur tvl :red_triangle_pointed_down:",TVL
"emmanuel macron, à propos des élections législatives : «je souhaite que se rassemblent, pour gouverner, ceux qui défendent les valeurs de la république»",CNEWS
"quelle honte !:right_arrow_curving_down: libération vient de révéler que l’élysée a dépensé « plus de 3 000 euros pour faire voyager les costumes de macron jusqu’à rio » ! « lors du déplacement présidentiel au brésil, un membre de l’intendance élyséenne a réservé un siège d’avion en classe affaires…",Florian Philippot
"mayotte vit une véritable submersion migratoire : les comores revendiquent la souveraineté de l'île et envoient des femmes accoucher là-bas. a mayotte et sur l’ensemble du territoire national, le droit du sol est évidemment une pompe aspirante de l'immigration !",Jordan Bardella
"amis de droite, il est temps de déconstruire la bureaucratie fédérale | jdm",Mathieu Bock-Côté
"dans la drôme, vous savez mieux que personne que les mots de grand remplacement, de francocide, de djihadisme du quotidien, se teintent parfois du sang de nos enfants et des larmes de leurs mères.",Eric Zemmour
":television: l’an prochain, le remboursement des intérêts de la dette sera le premier poste de dépense de l’etat, devant l’education nationale. voilà le bilan du « mozart de la finance » : un état ruiné et endetté jusqu’au cou.",Edwige Diaz Ⓜ️
les émeutiers de nouvellecalédonie sont-ils si différents de ceux des banlieues en métropole ? retrouvez l'intégralité de l'émission sur youtube !,Gilbert Collard
tourisme : 10 choses à faire ou à voir en famille en estonie,Breizh-Info
"ah oui, poutou, c’est le type qui se présente sur la même liste que françois hollande…",Régis Le Sommier
":crossed_swords: le 23 mai 1430 : jeanne d'arc est capturée à compiègne, une ville alors assiégée par les forces bourguignonnes alliées aux anglais. lors d'une sortie pour repousser les assaillants, jeanne est désarçonnée de son cheval et capturée par un archer bourguignon. les bourguignons la",Radio Courtoisie
"les français aimeraient avoir plus d'enfants, mais refuse de revenir sur la déconstruction idéologique de la politique familiale de . l'avenir de notre système social et de la :france: dépend largement de notre dynamisme démographique",Le Syndicat de la Famille
"[entretien] laurence trochu : ""j'appelle les fillonistes orphelins à nous rejoindre"" - par louis de torcy reconquête européennes2024 que défendra-t-elle au parlement européen ? laurence trochu se confie à bv",Boulevard Voltaire
"pause. n'oubliez pas d'écrire pendant les vacances. à vos amis, à vos parents, à l'inconnu, à l'impossible... écrivez.",Maud Koffler
"« je prends le métro à paris depuis dix ans et c'est un enfer sans nom ! entre les agressions verbales et physiques, les mendiants menaçants, les crackeux désorientés, les gens mal lunés et les frotteurs complètement allumés, c'est juste devenu insupportable !»",Kevin Bossuet
"ah bon mais comment ça se fait ? enfin, avec les ""cours d'éducation à la vie affective"" de nicole belloubet, tout rentrera dans l'ordre.",Laurent Obertone
"« l'annulation du grand débat au salondelagriculture est le signe d'un pouvoir en perdition. emmanuel macron n'arrive plus à rassembler et n'a aucune vision. il pense que parler, c'est faire et que faire c'est parler ! son pouvoir est incontestablement aux abois !»",Kevin Bossuet
"n'oublions pas que le sans-frontiérisme et l'affaiblissement simultané de l'état proviennent d'une même idéologie. c'est celle de macron, de l'ue, de nos dirigeants depuis 40 ans. ils ont compromis l'unité et l'avenir de la france, tout simplement.",Vincent Lapierre
très troublant...,Paul-Marie Coûteaux
"cher , tu es l'honneur du journalisme français : tu sacrifies ta carrière à tes convictions. tes amis sont fiers de l'amitié que tu leur donnes et de la voie que tu traces. je ne doute pas que tu rebondisses très vite. la france a besoin de toi.",Philippe de Villiers
"""la facture d'électricité des français baissera de 10 à 15% l'an prochain"" assure",Sud Radio
le « compte officiel de la présidence de la république française et de l’élysée » fait campagne pour la candidate du parti renaissance ! tout va bien en macronie ! :person_facepalming: :right_arrow_curving_down:,Florian Philippot
messe d'action de grace pour le 42e pèlerinage de notre-dame de chrétienté a 19h30 en l'eglise sainte odile dans le xviie arrondissement de paris. ndc2024,Radio Courtoisie
"« sud radio : parlons vrai », vraiment ? jean-dominique michel s’interroge ! revient sur la décision de de ne pas publier son dernier face à face avec sur leur chaîne youtube. cette décision a empêché",Le Média en 4-4-2
carole et thibaut offrent un accueil en or pendant les vacances. leur joie : permettre aux familles de passer du temps de qualité et de se reposer.,Famille Chrétienne
"que cette célébration de pâques vous apporte joie et bonheur en famille, et qu’elle soit un symbole d’espoir pour les chrétiens persécutés à travers le monde ! joyeuses fêtes à tous !",Steeve Briois
"dieudonné et carlo brusa : où s’arrête la liberté d’expression ? dieudo évoque son parcours, de ses débuts dans le métier de comédien à ses spectacles les plus récents. il aborde également la question de la liberté d'expression, qu'il considère comme la",Le Média en 4-4-2
"le nazisme a été détruit et la paix est revenue, avec la démocratie. mais avec macron, c'est : ""courage, fuyons"". a quand un nuremberg2 du hamas et de l'islamisme ? israel",Ivan Rioufol ن
"la gpa est le summum du business de la procréation, car c’est la vente et l’achat d’un enfant. c’est un trafic d’êtres humains. les enfants ne doivent faire l’objet d’aucun trafic. la femme n’est pas un moyen de production.",Le Syndicat de la Famille
"atteint d’une maladie incurable, antoine mesnier fond en larmes en direct en apprenant qu’il vient de devenir grand-père. « on a envie de vivre dans ces cas-là.» jusqu'au dernier souffle, la vie est la vie. oser l'abréger sera toujours vertigineux.",Le Syndicat de la Famille
il n’y a pas de solution à la mort...,Causeur.fr
":movie_camera: « l'énorme problème en france aujourd'hui, ce sont les cités hors contrôle. [...] les métastases gagnent, y compris les petites villes et la campagne. » - xavier raufer lsp à retrouver sur tvl :red_triangle_pointed_down:",TVL
je n'ai jamais été autant menacé de mort. je pense à acheter un gilet anti-coup de couteau. on en est là. rappel : je suis un mec dont la seule arme est un micro. nous devrions tous avoir honte de l'état de notre pays.,Vincent Lapierre
une émission qui a été particulièrement sympathique à tourner ! :wine_glass::winking_face: n’hésitez pas à aller vous abonner à cette nouvelle émission présentée par sur youtube,Thaïs d’Escufon
"depuis des mois, l’extrême-gauche est super bonne élève sur le sujet de la :palestinian_territories: et le jour où elle sort dans la rue sur un sujet franco-français, elle se fait passer un savon par une femme voilée en keffieh qui lui met un 0/20. ouch. la france soumise.",Marguerite Stern
"pour des raisons de démonétisation récurrente sur la chaîne principale, nous avons publié sur une chaîne test la semaine dernière :",Stéphane Edouard
"g.attal ce matin au conseil des ministres comme chef du gvt et élu avant hier pdt de groupe a l’an : inédit, et parfaitement inconstitutionnel. peut-on vraiment bafouer autant la constitution et continuer de prétendre qu’on respecte le peuple et la démocratie ? foutaises.",Jean-Frédéric Poisson
"une femme ne vous aime jamais pour “qui vous êtes”. elle vous aime pour le statut que vous lui apportez, le style de vie que vous lui offrez, le divertissement que vous lui procurez.",Thaïs d’Escufon
,mozinor
"«la france est le seul pays d’europe où il y a eu des massacres de juifs ces dernières années: les halimi, mme knoll, l’hypercasher et ozar hatorah de toulouse. les assassins ont été reconnus antisémites et tous islamistes que mélenchon passe son temps à défendre.» cnews",G-William Goldnadel
"pour justifier l'envoi de soldats ukraine, macron20h a une explication qui sera historique : "" “vous êtes assis devant moi… est-ce que vous êtes debout ? non ! est-ce que vous excluez de vous lever à la fin de cette interview ? vous n’allez pas l’exclure”.""au delà du malaise.",Martial Bild
"bah alors, : deux vidéos ""pédagogiques"" sur le rn en deux jours ? on aurait peur de quelque chose, peut-être ? pourquoi, avant même de cliquer, je sais que vous allez chercher à nous dissuader de voter à droite ? vous assumez cette partialité, ça marche comment ?",Daniel Conversano
"mémoire de tian’anmen : à pékin, le fond de l’air est rouge sang",Le JDD
:red_circle:[nouveau] accédez aux articles de valeurs actuelles directement via la bio instagram :down_arrow:,Valeurs actuelles ن
"alain finkielkraut n'exclut pas d'être ""contraint"" de voter rn pour faire barrage à lfi",Le JDD
":red_circle: l'extrême-gauche ne cache plus son soutien aux islamistes, insultant la mémoire des victimes du hamas. lfi porte une lourde responsabilité dans la montée de l'antisémitisme. les 30 juin et 7 juillet, ne leur donnez pas le pouvoir. votez rn ! bardellapremierministre",Rassemblement National
55% des français sont méfiants de l'ue. si les membres de la commission cessaient d'outrepasser les prérogatives des traités cela pourrait certainement améliorer les choses.,Jerome Riviere 🇫🇷
"le pape françois a encouragé le chrétien à être « sans peur, sans calcul et sans condition », en célébrant l’angélus. introduisant la prière mariale depuis la place saint-pierre, il a mis en garde contre « les mythes de l’argent, du pouvoir et du succès ».",Famille Chrétienne
"a midi midinews - oudeacastera de quoi cette polémique est-le nom? - ecole match privé/public - migrants: les îles canaries, le nouvel lampedusa européen - macron: une conférence de presse pour quels changements? - estrosi tacle les lr après la nomination dati",Mabrouk Sonia
"macron fanfaronne depuis ce matin après le rachat par edf des turbines arabelle à general electric. ministre de l’économie, il brada pourtant en 2015 cet actif stratégique au bénéfice du géant américain. nous sommes nombreux à ne pas lui pardonner ce retournement de veste.",Karim Ouchikh
"toujours à agen afin d’échanger avec adrien pedrazzi, président général de l’union des métiers et des industries de l’hôtellerie du lot-et-garonne sur de nombreuses thématiques du secteur et notamment le traitement et la valorisation des bio-déchets. umih47",Hélène Laporte
