Document,Topic,pos dataset 10K (starting from 0)
rdv midi midinews - g. attal/ m. lepen: l’impossible débat? - missakmanouchian j.bardella dénonce une instrumentalisation d’e. macron sur la présence rn - agriculteurs un salon de l’agriculture chahuté? - voitures un luxe pour beaucoup de français,Nation,1
":fishing_pole: en tant que membre du groupe d’études pêche à l’assemblée nationale, j’interpelle madame la secrétaire d’état chargée de la biodiversité sur la double imposition subie par certains pêcheurs professionnels en eau douce. ma question écrite : :right_arrow:",Nation,84
"la droitisation du gouvernement ...une belle histoire qui aura occupé médiatiquement, pendant trois jours, les plus crédules. depuis, il y a eu belloubet, la normalisation ( facile) de dati, l'hymne au communisme et ses 100 millions de morts et l'invitation au dialogue avec des",Nation,114
"la coordination rurale est aujourd’hui le premier syndicat agricole de guadeloupe. ils ont notamment été aux côtés des producteurs de canne en colère ces derniers mois, étranglés par les normes et par les intermédiaires agro-industriels.",Nation,136
":kiwi_fruit: :strawberry::honey_pot: quel plaisir de se rendre lors de ces 2 jours au sia2024 sur le stand du lotetgaronne : pruneaux, noisettes kiwis rouges, truffes, miel… un grand bravo aux exposants pour la qualité de leurs produits ! :clapping_hands:",Nation,163
il y a des blagues qui s’écrivent toutes seules… ue macron agriculteursencolere,Nation,241
"nouvelle-calédonie : une situation plus calme vendredi, selon les autorités locales, malgré des quartiers totalement «hors de contrôle»",Nation,255
"suite aux manifestations des agriculteurs, qu'a fait le gouvernement ? rien ! son projet de loi d'orientation agricole ne leur apporte aucune solution. pire, les députés européens macronistes continuent de soutenir les traités de libre-échange et la décroissance agricole.",Nation,277
"la meilleure cuisine est-elle italienne ou française ? ""la cuisine italienne c'est celle des produits et la cuisine française est celle de la technique""",Nation,289
"[animaux] grâce au brexit, le royaume-uni interdit l’exportation d’animaux vivants - par samuel martin brexit elevage la commission européenne, elle, reste sur une position anti-animale au nom du libéralisme agro-alimentaire.",Nation,292
:droplet:l’usage agricole de l’eau ne peut être considéré comme un usage privé comme un autre. cet amendement consacre le caractère évident d’utilité publique des ouvrages hydrauliques visant à l’augmentation et à la sécurisation de la production agricole. examenloa :right_arrow_curving_down:,Nation,322
la première partie de mon édito sur la crise en nouvelle-calédonie.,Nation,354
