,Text,User
43654,"🔴 Appel solennel conjoint avec @f_philippot au rassemblement pour mener campagne législatives ensemble ! Constituons un Bloc Souverainiste @dupontaignan @f_asselineau @Vukuzman @RLC_officiel @Cercle_Aristote @_LesPatriotes @VIA_off @DLF_Officiel
#dissolution #BlocSouvaireniste https://t.co/OMbcLzHNjY",Jean-Frédéric Poisson
35494,"RDV midi #MidiNews @CNEWS 
- G. #Attal/ M. #LePen: L’impossible débat?
- #MissakManouchian J.Bardella dénonce une instrumentalisation d’E. #Macron sur la présence RN
- #agriculteurs Un salon de l’agriculture chahuté? 
- #voitures Un luxe pour beaucoup de Français",Mabrouk Sonia
12547,"Je serais son conseil en communication, je lui recommanderais d’abandonner ce ton pédagogique teinté d’agacement de prof principal, comme si les journalistes (et les Français) étaient des lycéens bouchés #macron20h",Gabrielle Cluzel
40694,"« La transphobie c’est dégueulasse ». 

Devant l’université d’Assas, quelques étudiants manifestent contre la conférence de Marguerite Stern et Dora Moutot, auteures de Transmania. 

Les CRS ont été déployés pour assurer la sécurité de l’événement. https://t.co/gg7lvSfjGg",Boulevard Voltaire
9636,"À l’occasion du Carême, la Couronne d’épines est vénérée chaque vendredi en l’église Saint-Germain-l’Auxerrois. Le représentant de la lieutenance des Chevaliers du Saint-Sépulcre explique l’importance spirituelle de cette vénération.
https://t.co/pLhiIGZ3OG",Famille Chrétienne
12128,"[EDITO] On l’aurait parié : pas de cordon sanitaire pour LFI, l’union de la gauche revient ! ⬇️
https://t.co/LeubwL8aXb",Gabrielle Cluzel
2939,"À l’insu de son plein gré aussi pourquoi pas ?

Ils nous prennent vraiment pour des imbéciles, et sans sourciller.",Cercle Aristote
43620,Y. Braun Pivet réélue Pdte de l’AN : une bonne gifle à tous les électeurs qui ont rejeté massivement le bilan catastrophique de Macron. Déni. Mépris. Insupportable. https://t.co/4YT4W82eCT,Jean-Frédéric Poisson
15294,"🔴 Elisabeth #Borne vient de déclencher son treizième 49.3 de la législature sur le #PLF2024. Aucun débat, aucun amendement débattu, nous franchissons un échelon dans l’absence de démocratie. Le @groupeRN_off déposera une #MotionDeCensure. #DirectAN https://t.co/odH1KZ3CQv",Hélène Laporte
25649,Elections législatives 2024 : Pourquoi les syndicats de police ne feront pas barrage au RN ? https://t.co/6EZ7HKtq7Q,Louis Aliot
30461,Comment l’Etat d’Israël ne se rend-il pas compte qu’il est en train de tout perdre ?,Paul-Marie Coûteaux
22073,"Voilà ce qu’est le front « populaire ».
Voilà le danger qui guette notre pays. Face à eux, il n’y a plus que Jordan Bardella.
Votez et faites voter, partout, pour le RN !
#BardellaPremierMinistre",Laure Lavalette
35208,"A Midi #MidiNews @CNEWS 
- #Emile Le procureur parle à 18h 
- #Emile Le point sur la situation #recherches #HautVernet 
- #Insecurite Les Français dénoncent un ensauvagement #sondage 
- #autorite Les Français pour + d’autorité 
- Qui veut la peau de l’Enseignement privé? #rapport",Mabrouk Sonia
27011,"Pour toucher le double et toujours sans aucune expérience, on peut aussi faire Premier ministre",MARSAULT
20706,"Si je comprends bien, #LFI veut former un #FrontPopulaire contre l'extrême droite avec Fabien Roussel après l'avoir comparé à Jacques Doriot ? Si quelqu'un comprend quelque chose à ces gens, qu'il m'appelle ! Vraiment, ça m'intéresse ! Merci ! #LegislativesAnticipées",Kevin Bossuet
41260,La police allemande contre son propre peuple pendant qu'un islamiste attaque au couteau.,Breizh-Info
36516,"François @bayrou : ""J'ai toujours cru à un gouvernement d'union nationale, républicaine"" https://t.co/AI0kpImxtV",Sud Radio
27710,"C'est l'histoire d'un mec qui ne fait pas de bonnes blagues en 2023, pas plus qu'en 2022. Et qui est un salarié protégé de France Inter payé par nos impôts. 
C'est l'histoire d'un mec interpellé par la police de la pensée qu'il a appelé de tous ses voeux. L'arroseur arrosé.",Martial Bild
16811,"#Hamas #BFMTV #LeDébat #BFMTV #Gaza

Manon Aubry refuse catégoriquement de croire les chiffres du ministère français de l’Intérieur qui montrent très clairement le lien entre certaines immigrations et l’explosion de la délinquance et de la criminalité.

Par contre, la même Manon…",Jean MESSIHA
19103,"La guerre, c'est du sérieux Madame Hayer.

La guerre ne doit pas être le prétexte à aller se faire prendre en photo sur une zone de guerre, pour poster les photos sur Twitter, en pleine campagne européenne. #débatBFMTV https://t.co/KsudhhpTGh",Jordan Bardella
40521,"[SATIRE A VUE] Le maire de Marseille, Benoît Payan, comme chez lui à Alger ! - Par @JanyLeroy
#BenoîtPayan #Alger
Il faut à tout prix renforcer les liaisons maritimes entre Marseille et son clone, Alger.
https://t.co/PIQ37ufSoH",Boulevard Voltaire
6378,🗳️A voté ! https://t.co/Q9TcJn5c0T,Edwige Diaz Ⓜ️
27974,"Après avoir qualifié le drapeau français de drapeau satanique, l'imam Mahjoub Mahjoubi évoque un ""lapsus"" et ""une maladresse de langage"". Vu l'enthousiasme de son propos, on peine à penser qu'il envisageait plutôt de chanter la Marseillaise mais que - oups - sa langue a fourché.",Maud Koffler
26017,Merci à nos amis espagnols pour cet accueil si chaleureux aujourd’hui à Madrid ! #VIVA24 🇫🇷🇪🇸 https://t.co/yiUcwbUBN7,Marine Le Pen
16421,Bon les amis plus d electricite depuis hier.  L électricien arrive dans 1h. Prochains épisodes écrits. Ca me gave tellement d avoir pas pu sortir ma reaction hier grrrr. On croise les doigts qu il répare ca dans la journée !,J'SUIS PAS CONTENT TV (compte promotionnel)
2773,"Quand tu n’es pas élu au scrutin universel direct, et que ta place n’est pas menacée.",Cercle Aristote
37550,"🎥 « De toute éternité, le fait de ne pas travailler était un privilège [...] Aujourd'hui, on fait vraiment du travail le seul mode d'accomplissement d'une femme » - Ève Vaguerlant

ZOOM à retrouver sur TVL 🔻
https://t.co/ZlE5OUAxvc https://t.co/hIqHuC0nkl",TVL
5326,"Emmanuel Macron, à propos des élections législatives : «Je souhaite que se rassemblent, pour gouverner, ceux qui défendent les valeurs de la République» https://t.co/SLSKhQtTOO",CNEWS
10660,"Quelle honte !⤵️

Libération vient de révéler que l’Élysée a dépensé « plus de 3 000 euros pour faire voyager les costumes de #Macron jusqu’à Rio » !

« Lors du déplacement présidentiel au Brésil, un membre de l’intendance élyséenne a réservé un siège d’avion en classe affaires… https://t.co/gvNsCjMAb9",Florian Philippot
19301,"#Mayotte vit une véritable submersion migratoire : les Comores revendiquent la souveraineté de l'île et envoient des femmes accoucher là-bas.

A Mayotte et sur l’ensemble du territoire national, le droit du sol est évidemment une pompe aspirante de l'immigration ! @Le_Figaro https://t.co/c1KwRJnUvw",Jordan Bardella
41750,"Amis de droite, il est temps de déconstruire la bureaucratie fédérale | JDM https://t.co/uRtlsAsS7T",Mathieu Bock-Côté
8481,"Dans la Drôme, vous savez mieux que personne que les mots de Grand Remplacement, de Francocide, de djihadisme du quotidien, se teintent parfois du sang de nos enfants et des larmes de leurs mères. https://t.co/nlkPp4W3Hm",Eric Zemmour
6545,"📺 L’an prochain, le remboursement des intérêts de la dette sera le premier poste de dépense de l’Etat, devant l’Education Nationale. 

Voilà le bilan du « Mozart de la Finance » : un État ruiné et endetté jusqu’au cou. https://t.co/oldbIixgfg",Edwige Diaz Ⓜ️
13129,"Les émeutiers de #NouvelleCalédonie sont-ils si différents de ceux des banlieues en métropole ? 

Retrouvez l'intégralité de l'émission sur YouTube !
https://t.co/BPr0snCbtA https://t.co/U6hLD6Y7eu",Gilbert Collard
41223,"Tourisme : 10 choses à faire ou à voir en famille en Estonie
https://t.co/SWDQnUngzn",Breizh-Info
33679,"Ah oui, Poutou, c’est le type qui se présente sur la même liste que François Hollande… https://t.co/9W0w4sbNcP",Régis Le Sommier
