,Text,Topic,Tone of Post,In-Group,Out-group,Narrator,Intolerance,Superiority of in-group,"Hostility to out-group (e.g. verbal attacks, belittlement, instillment of fear, incitement to violence)",Polarization/Othering,Perceived Threat,Character(s),Setting,Initiating Problem,Emotional response,Solution,Appeal to Authority,Appeal to Reason,Appeal to Probability,Conspiracy Theories,Irony/Humor
0,"transition de genre : le sénat vient de voter l’interdiction de la chirurgie et des traitements hormonaux pour les mineurs. une mesure essentielle de protection des enfants et un principe de précaution élémentaire, pour éviter des séquelles physiques et psychologiques souvent irréversibles. les adultes font évidemment ce qu’ils veulent mais il est déraisonnable et dangereux de laisser des enfants s’engager sur ce chemin sans retour.",gender/sexuality,"0 neutral, ambiguous or unclear",Politicians/Government,LGBTIQ+,Neutral Narrator,False,True,False,True,False,Explicit,False,False,True,True,True,True,False,False,False
1,"séances d'éducation à la sexualité, la question du genre y est omniprésente : ""il est recommandé, dès la classe de cp, d’aborder les questions d’“assignation de rôles et de stéréotypes”. ce qui est très manipulateur lorsque l’on parle à des tout-petits.""",gender/sexuality,"0 neutral, ambiguous or unclear",Other,School staff,Unclear,True,False,False,True,False,Explicit,True,False,True,False,False,True,False,False,False
2,"le premier épisode de notre émission de témoignages ""contre discours sur les questions de genre"" vient de sortir sur notre chaine ! :speaking_head: alexandra est une personne dite intersexe qui s’oppose à l’idéologie transgenre à qui nous avons déjà donné la parole dans notre…",gender/sexuality,"0 neutral, ambiguous or unclear",LGBTIQ+,The People,Neutral Narrator,False,False,False,True,False,Explicit,True,False,False,False,False,False,False,False,False
3,"les transgenristes disent qu’être une femme est un genre et un sentiment. selon cette logique, il faudrait aussi rebaptiser le sexisme « genrisme », et l’homosexualité « homogenréité ».",gender/sexuality,"0 neutral, ambiguous or unclear",The People,LGBTIQ+,Narrator part of in-group,False,False,False,True,False,Explicit,False,True,False,False,False,True,False,False,False
4,identité de genre: le délire est rendu à l’onu | jdm,gender/sexuality,"0 neutral, ambiguous or unclear",The People,LGBTIQ+,Narrator part of in-group,True,False,False,False,False,Explicit,False,True,False,False,True,False,False,False,False
5,": le livre-enquête, qui porte sur «les dérives de l'idéologie transgenre» est en tête des ventes en ligne. →",gender/sexuality,"0 neutral, ambiguous or unclear",The People,LGBTIQ+,Narrator part of in-group,False,False,False,True,False,Explicit,True,False,False,False,False,False,False,False,False
6,"ludo : « cette éducation sert de prétexte à des associations agréées par l’, pour militer auprès des élèves en faveur de revendications sociétales et de l’idéologie du genre. »",gender/sexuality,"0 neutral, ambiguous or unclear",Other Ideology,Politicians/Government,Neutral Narrator,True,False,True,True,False,Explicit,True,False,True,False,True,True,False,False,False
7,"proposition de loi lr sur la ""prise en charge des mineurs en questionnement de genre"" : ""jacqueline eustache-brinio a fait le travail d'écouter tout le monde, pour arriver à des conclusions similaires aux nôtres. on soutient ce projet de loi"", explique , co-autrice de ""transmania""",gender/sexuality,1 positive,Politicians/Government,LGBTIQ+,Narrator part of in-group,False,False,False,False,False,Explicit,False,False,False,False,False,False,False,False,False
8,"ma chronique du jdm à propos du tournant autoritaire de la théorie du genre, à laquelle nous sommes désormais obligés de croire - quant aux réfractaires, ils feront l'expérience de la persécution.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Media/Journalists,LGBTIQ+,Narrator part of in-group,False,True,False,True,False,Implicit,False,True,False,False,False,True,False,False,False
9,": [enquête] censure, diffamation, agressions… le régime de terreur des activistes transgenres :link: article jdd :",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Media/Journalists,LGBTIQ+,Narrator part of in-group,True,False,True,True,False,Explicit,False,True,False,False,False,True,False,True,False
10,: le choix de récompenser une actrice transgenre est taxé de «message politique» sur les réseaux sociaux.,gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Media/Journalists,LGBTIQ+,Narrator part of in-group,True,False,True,False,False,Explicit,False,True,False,False,False,True,False,True,False
11,"the american college of pediatricians vient de publier une vidéo qui citent par leur nom toutes les associations qui poussent les transitions de genre chez les enfants. ils demandent à ces groupes de ""cesser immédiatement la promotion de l'affirmation sociale, des bloqueurs de puberté, des hormones croisées et des chirurgies pour les enfants et les adolescents"" la déclaration complète de : ""compte tenu des recherches récentes et des révélations sur l'approche nuisible préconisée par la wpath et ses partisans aux états-unis, nous appelons les organisations professionnelles médicales des états-unis, y compris l'american academy of pediatrics, l'endocrine society, la pediatric endocrine society, l'american medical association, l'american psychological association et l'american academy of child and adolescent psychiatry, à suivre ce que dit la science. nous appellons aussi leurs collègues europeens à cesser immédiatement de promouvoir l'affirmation sociale, les bloqueurs de puberté, les hormones de croisement et les chirurgies pour les enfants et les adolescents qui ressentent une détresse par rapport à leur sexe biologique. ces organisations devraient recommander des évaluations et des thérapies visant à identifier et à traiter les comorbidités psychologiques sous-jacentes. nous encourageons également les médecins membres de ces organisations professionnelles à contacter leurs dirigeants et à les convaincre d' adhérer aux recherches fondées sur des preuves désormais disponibles."" : allez vous continuer à faire ça aux enfants en france? on exige une réponse.",gender/sexuality,"0 neutral, ambiguous or unclear",Scientists/Academics,LGBTIQ+,Neutral Narrator,True,True,False,True,False,Explicit,True,True,False,False,False,True,False,False,False
12,"pénaliser le désaccord autour de la théorie du genre, en le nommant transphobie. et justifier dès lors la censure de la critique de la théorie du jour. la gauche et la censure, une histoire d'amour.",gender/sexuality,"0 neutral, ambiguous or unclear",The People,Left,Neutral Narrator,True,False,False,False,False,Explicit,False,True,False,False,False,True,False,False,False
